,formula,Ef,num_atoms
56,U2O7,-3.084278137511911,9.0
57,U5O31,-2.6082699996257253,36.0
58,UO16,-2.1750521202286155,17.0
59,U3O5,-3.362209930527345,8.0
60,U2O19,-2.4365341042116473,21.0
61,U3NO,-1.3091274186315884,5.0
62,UO5,-2.764278073062981,6.0
63,U3O7,-3.4691040923801153,10.0
64,UO4,-2.9686011551065064,10.0
65,UN3O4,-0.44566425731965753,8.0
66,UO22,-2.064508233618226,23.0
67,U2O11,-2.68884996928201,13.0
68,U4O13,-3.1685700823333085,17.0
69,UN2O3,-0.7479885458159123,6.0
70,U3O17,-2.6691894754762884,20.0
71,U(NO2)2,-0.812405207049902,7.0
72,U2O49,-2.0352841695694797,51.0
73,U4O31,-2.50120302549607,35.0
74,UNO3,-1.4343949356576184,5.0
75,U3O16,-2.7102896925035416,19.0
76,UO9,-2.448425301462669,10.0
77,U8O15,-3.4395211273158006,23.0
78,U3N3O2,-1.948972671310288,8.0
79,U2N,-0.4886902711853368,3.0
80,U2O9,-2.862766875801468,11.0
81,U3O11,-3.0404422505748356,14.0
82,U2O25,-2.2924662633096102,27.0
83,U3(NO)2,-2.0709325155841065,7.0
84,U4O23,-2.659574172882794,27.0
85,U2N3O2,-0.9435152974402733,7.0
86,U2O27,-2.2527277701208126,29.0
87,U5O4,-2.06386403894882,9.0
88,U11(N3O2)6,-0.8424845898385188,41.0
89,U2N3O17,-1.48064764242649,22.0
90,U4O3,-1.9384052584665714,7.0
91,U4O5,-3.0061810973760577,9.0
92,U3O4,-3.1142376401995775,7.0
93,U(NO)4,-0.19766990192264836,9.0
94,U2N5O6,-0.5681894846102225,13.0
95,U2N2O3,-2.0194078456119002,7.0
96,U(NO)3,-0.3825258700901315,7.0
97,U2O17,-2.464246538761922,19.0
98,U5N8O3,-0.8298170105773554,16.0
99,U2N4O3,-0.6111551094301905,9.0
100,U2N,-0.4886902711853368,6.0
101,UO20,-2.0937242131659266,21.0
102,U2O15,-2.5160475786673895,17.0
103,UO28,-2.002090058396619,29.0
104,U6NO2,-0.8177919166632283,9.0
105,U2(NO)3,-1.2353660987900972,8.0
106,U2NO3,-2.3588851550770293,6.0
107,U4O,-0.273334681028057,5.0
108,U2NO2,-2.4497334191254008,5.0
109,U4NO,-0.6244392101614279,6.0
110,U2NO4,-2.236237794702878,7.0
111,U5O2,-0.45730434425968636,7.0
112,U5O3,-1.3195098849775933,8.0
113,U4NO3,-2.2709009866596364,8.0
114,UN4O3,-0.195033964147902,8.0
115,U2NO5,-2.1641841570785894,8.0
